I I I I I I I I I I I I I I I I I I I I I I I I I I I I
I . . . . . . / / . . . . . . / / . . . . . . . . . . I
I . . . . . . / / . . . . . . / / . . . . . . . . . . I
I . . # # . . / / . . . . . . # # . . # # . . # # . . I
I O . # # . . / / . . . . F . # # . . # # C . # # . . I
I . . # # . . . . . . . . # # # # . . # # / / # # . . I
I . . # # . . . . . . . . # # # # . . # # / / # # . . I
I . . . . . . # # . . . . . . . . . . / / . . . . . . I
I . . . . . . # # . . . . . . . . . . / / . . . . . . I
I A A . . . . # # . . . . / / . . . . # # A A # # / / I
I A A . . . . # # . . . . / / . . . . # # A A # # / / I
I A A A A . . . . . . # # . . . . / / . . A A . . . . I
I A A A A . . . . . . # # . . . . / / . . A A . . . . I
I . . # # # # # # A A A A A A / / . . . . A A # # . . I
I . . # # # # # # A A A A A A / / . . . . A A # # . . I
I . . . . . . / / A A # # . . # # . . # # . . # # . . I
I . . . . . . / / A A # # . . # # . . # # . . # # . . I
I / / # # . . / / . . # # . . # # . . . . . . # # . . I
I / / # # . . / / . . # # . . # # . . . . . . # # . . I
I . . # # . . # # J . # # # # # # . . # # / / # # . . I
I . . # # . . # # . . # # # # # # . . # # / / # # . . I
I . . # # . . # # . . # # # # # # . . . . . . . . . . I
I . . # # . . # # . . # # # # # # . . . . . . . . . . I
I . . # # . . . . . . . . . . . . . . # # . . # # . . I
I . . # # . . . . . . . # # # # . . . # # . . # # . . I
I . . # # . . # # . . . # . . # . . . # # # # # # . . I
I . . # # . . # # . . . # D . # . . . # # # # # # . . I
I I I I I I I I I I I I I I I I I I I I I I I I I I I I
